extract,rows,column,populated,populated_pct
Extract_for_Accounts 03 Sep 26.csv,59205,Reader,25361,42.8
Extract_for_Accounts 03 Sep 26.csv,59205,Serial_No,10,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Opened On,2394,4.0
Extract_for_Accounts 03 Sep 26.csv,59205,Replaced On,35836,60.5
Extract_for_Accounts 03 Sep 26.csv,59205,Usage Type,12040,20.3
Extract_for_Accounts 03 Sep 26.csv,59205,Use,12040,20.3
Extract_for_Accounts 03 Sep 26.csv,59205,Apportionment,12040,20.3
Extract_for_Accounts 03 Sep 26.csv,59205,Effective From,1078,1.8
Extract_for_Accounts 03 Sep 26.csv,59205,Effective To,20,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Cost Centre Group Chain,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Cost Centre,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Report Percent,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Cost Centre Effective From,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Cost Centre Effective To,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Cost Centre Membership Description,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Relationship,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Related Account,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Relationship Percent,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Relationship Effective From,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Relationship Effective To,0,0.0
Extract_for_Accounts 03 Sep 26.csv,59205,Account Style Accrue Type,59205,100.0
Extract_for_Accounts 03 Sep 26.csv,59205,Account Style Consumption Accrue Method,59205,100.0
Extract_for_Accounts 03 Sep 26.csv,59205,Account Style Cost Accrue Method,59205,100.0
Extract_for_Accounts 03 Sep 26.csv,59205,Updated On,59205,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Location Link,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Account Link,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Associate,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Location,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Location Account Ref,37329,63.1
Extract_for_Accounts 26 Aug 26.csv,59186,Data Type,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Account Style,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Sub Type,145,0.2
Extract_for_Accounts 26 Aug 26.csv,59186,Supplier,56770,95.9
Extract_for_Accounts 26 Aug 26.csv,59186,Account Number,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Account Reference,24193,40.9
Extract_for_Accounts 26 Aug 26.csv,59186,Reader,25343,42.8
Extract_for_Accounts 26 Aug 26.csv,59186,Serial_No,10,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Opened On,2371,4.0
Extract_for_Accounts 26 Aug 26.csv,59186,Replaced On,35819,60.5
Extract_for_Accounts 26 Aug 26.csv,59186,Usage Type,12040,20.3
Extract_for_Accounts 26 Aug 26.csv,59186,Use,12040,20.3
Extract_for_Accounts 26 Aug 26.csv,59186,Apportionment,12040,20.3
Extract_for_Accounts 26 Aug 26.csv,59186,Effective From,1078,1.8
Extract_for_Accounts 26 Aug 26.csv,59186,Effective To,20,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Cost Centre Group Chain,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Cost Centre,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Report Percent,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Cost Centre Effective From,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Cost Centre Effective To,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Cost Centre Membership Description,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Relationship,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Related Account,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Relationship Percent,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Relationship Effective From,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Relationship Effective To,0,0.0
Extract_for_Accounts 26 Aug 26.csv,59186,Account Style Accrue Type,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Account Style Consumption Accrue Method,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Account Style Cost Accrue Method,59186,100.0
Extract_for_Accounts 26 Aug 26.csv,59186,Updated On,59186,100.0
