Item Number,Apr26,Aug26,Jul26,Jun26,Mar26,May26
700000536_ZZZZ001261,205320.0,255505.0,258867.0,227596.0,227831.0,227003.0
Tenant 700000536_ZZZZ001261,-82949.0,-103224.0,-104582.0,-91949.0,-92044.0,-91709.0
