Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,337.0000,337.0,0.0341,60.0,0.5,168.5,0.017,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,510.0000,510.0,0.0516,60.0,0.5,255.0,0.026,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Sep 2025,30.0,60.0,-30.0,,454270.0000,,,,0.5,,,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Nov 2025,30.0,60.0,-30.0,,1696730.0000,,,,0.5,,,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Apr 2026,30.0,60.0,-30.0,,1805350.0000,1805350.0,97.864,60.0,0.5,902675.0,48.932,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Jun 2026,30.0,60.0,-30.0,,985770.0000,985770.0,53.4364,60.0,0.5,492885.0,26.718,False
Cell Towers,91999_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,983.2637,983.2637,0.0994,60.0,0.5,491.6,0.05,False
Cell Towers,91999_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,1009.1138,1009.1138,0.102,60.0,0.5,504.6,0.051,False
Dargaville Depot,55512_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,817.0000,817.0,0.0826,60.0,0.5,408.5,0.041,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,1423.0000,1423.0,0.1439,60.0,0.5,711.5,0.072,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,26128.9113,,,,0.5,,,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,19436.0000,,,,0.5,,,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,27455.0000,27455.0,2.7762,60.0,0.5,13727.5,1.388,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,2787.8189,,,,0.5,,,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,840.2000,,,,0.5,,,False
Hamilton (Gilchrist Rd),91411_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,914.0000,914.0,0.0924,60.0,0.5,457.0,0.046,False
Hamilton Depot,55540_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,2988.0000,2988.0,0.3021,60.0,0.5,1494.0,0.151,False
