Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
REV_Government & IFM,FY26REV_Government & IFM,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,224.0,-196.0,,63.9000,,,,0.875,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,217.0,-186.0,,52.0000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,217.0,-186.0,,48.6000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,217.0,-186.0,,50.4000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,217.0,-186.0,,27.4000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 May 2026,31.0,217.0,-186.0,,36.9000,,,,0.857,,,True
REV_Government & IFM,FY27REV_Government & IFM,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,217.0,-186.0,,71.6000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,217.0,-186.0,,148.8000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,217.0,-186.0,,122.5000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,217.0,-186.0,,108.3000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,217.0,-186.0,,164.9000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 May 2026,31.0,217.0,-186.0,,174.0000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY27REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,217.0,-186.0,,134.7000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,210.0,-180.0,,49.5000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,210.0,-180.0,,52.5000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,210.0,-180.0,,32.8000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,210.0,-180.0,,53.3000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,210.0,-180.0,,128.0000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,210.0,-180.0,,145.0000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,210.0,-180.0,,179.4000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,210.0,-180.0,,182.5000,,,,0.857,,,True
REV_Base & Estate Management,FY26REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,196.0,-168.0,,24.3000,,,,0.857,,,True
REV_Transport & Infrastructure AU,FY26REV_Transport & Infrastructure AU,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,196.0,-168.0,,148.2000,,,,0.857,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,186.0,-155.0,,176.8000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,186.0,-155.0,,172.4000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,186.0,-155.0,,134.4000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,186.0,-155.0,,209.0000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 May 2026,31.0,186.0,-155.0,,165.7000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY27REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,186.0,-155.0,,131.5000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,180.0,-150.0,,157.3000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,180.0,-150.0,,194.0000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,180.0,-150.0,,184.5000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,180.0,-150.0,,170.2000,,,,0.833,,,True
REV_Transport & Infrastructure NZ,FY26REV_Transport & Infrastructure NZ,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,168.0,-140.0,,189.5000,,,,0.833,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,155.0,-124.0,,9.1000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,155.0,-124.0,,11.5000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,155.0,-124.0,,6.7000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,155.0,-124.0,,10.3000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 May 2026,31.0,155.0,-124.0,,9.4000,,,,0.8,,,True
REV_Mineral Technologies,FY27REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,155.0,-124.0,,10.0000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,150.0,-120.0,,10.6000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,150.0,-120.0,,9.6000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,150.0,-120.0,,7.3000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,150.0,-120.0,,6.8000,,,,0.8,,,True
REV_Mineral Technologies,FY26REV_Mineral Technologies,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,140.0,-112.0,,7.7000,,,,0.8,,,True
REV_Base & Estate Management,FY27REV_Base & Estate Management,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,124.0,-93.0,,41.0000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,124.0,-93.0,,79.3000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,124.0,-93.0,,55.9000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,124.0,-93.0,,33.7000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,124.0,-93.0,,49.3000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 May 2026,31.0,124.0,-93.0,,55.9000,,,,0.75,,,True
REV_Energy & Industrial,FY27REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,124.0,-93.0,,50.9000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,124.0,-93.0,,1.3000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,124.0,-93.0,,0.0000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,124.0,-93.0,,0.7000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,124.0,-93.0,,0.2000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 May 2026,31.0,124.0,-93.0,,0.0000,,,,0.75,,,True
REV_Health & Education,FY27REV_Health & Education,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,124.0,-93.0,,44.6000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,120.0,-90.0,,66.7000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,120.0,-90.0,,61.8000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,120.0,-90.0,,50.1000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,120.0,-90.0,,63.6000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,120.0,-90.0,,-0.1000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,120.0,-90.0,,0.1000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,120.0,-90.0,,0.2000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,120.0,-90.0,,0.4000,,,,0.75,,,True
REV_Energy & Industrial,FY26REV_Energy & Industrial,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,112.0,-84.0,,41.6000,,,,0.75,,,True
REV_Fleet & Assets,FY26REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,112.0,-84.0,,-0.1000,,,,0.75,,,True
REV_Emerging Markets,FY27REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,93.0,-62.0,,2.9000,,,,0.667,,,True
REV_Fleet & Assets,FY27REV_Fleet & Assets,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,93.0,-62.0,,0.1000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,93.0,-62.0,,44.9000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,93.0,-62.0,,44.9000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,93.0,-62.0,,43.7000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,93.0,-62.0,,43.7000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 May 2026,31.0,93.0,-62.0,,42.4000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,93.0,-62.0,,1.3000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,93.0,-62.0,,1.2000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,93.0,-62.0,,1.2000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,93.0,-62.0,,1.6000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 May 2026,31.0,93.0,-62.0,,1.6000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,93.0,-62.0,,3.3000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,93.0,-62.0,,3.9000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,93.0,-62.0,,3.0000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,93.0,-62.0,,3.9000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 May 2026,31.0,93.0,-62.0,,3.4000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,93.0,-62.0,,53.1000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,93.0,-62.0,,46.3000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,93.0,-62.0,,40.8000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,93.0,-62.0,,47.8000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 May 2026,31.0,93.0,-62.0,,46.0000,,,,0.667,,,True
REV_Telecommunications & Networks,FY27REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Jul 2026,31.0,93.0,-62.0,,46.1000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,90.0,-60.0,,40.8000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,90.0,-60.0,,43.1000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,90.0,-60.0,,43.5000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,90.0,-60.0,,45.0000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,90.0,-60.0,,1.5000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,90.0,-60.0,,1.4000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,90.0,-60.0,,1.2000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,90.0,-60.0,,1.3000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,90.0,-60.0,,2.7000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,90.0,-60.0,,2.9000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,90.0,-60.0,,5.0000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,90.0,-60.0,,3.6000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,90.0,-60.0,,56.9000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,90.0,-60.0,,54.0000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,90.0,-60.0,,46.2000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,90.0,-60.0,,43.7000,,,,0.667,,,True
REV_Health & Education,FY26REV_Health & Education,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,84.0,-56.0,,43.9000,,,,0.667,,,True
REV_Managing Contracts,FY26REV_Managing Contracts,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,84.0,-56.0,,1.3000,,,,0.667,,,True
REV_RTS Opportunities,FY26REV_Emerging Markets,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,84.0,-56.0,,4.2000,,,,0.667,,,True
REV_Telecommunications & Networks,FY26REV_Telecommunications & Networks,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,84.0,-56.0,,46.2000,,,,0.667,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,62.0,-31.0,,0.1000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,62.0,-31.0,,0.4000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,62.0,-31.0,,0.4000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,62.0,-31.0,,1.1000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 May 2026,31.0,62.0,-31.0,,0.6000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,62.0,-31.0,,0.1000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,62.0,-31.0,,3.3000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,62.0,-31.0,,-0.3000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,62.0,-31.0,,0.0000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 May 2026,31.0,62.0,-31.0,,0.1000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,62.0,-31.0,,30.5000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,62.0,-31.0,,24.5000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,62.0,-31.0,,26.6000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,62.0,-31.0,,33.9000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 May 2026,31.0,62.0,-31.0,,31.6000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,62.0,-31.0,,0.6000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,62.0,-31.0,,0.0000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,62.0,-31.0,,0.5000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,62.0,-31.0,,-0.1000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 May 2026,31.0,62.0,-31.0,,-0.1000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,62.0,-31.0,,0.0000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,62.0,-31.0,,0.0000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,62.0,-31.0,,0.0000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,62.0,-31.0,,0.0000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 May 2026,31.0,62.0,-31.0,,-0.3000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Oct 2025,31.0,62.0,-31.0,,60.9000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Dec 2025,31.0,62.0,-31.0,,52.1000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Jan 2026,31.0,62.0,-31.0,,51.5000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Mar 2026,31.0,62.0,-31.0,,70.3000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 May 2026,31.0,62.0,-31.0,,96.3000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,60.0,-30.0,,0.0000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,60.0,-30.0,,0.2000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,60.0,-30.0,,1.0000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,60.0,-30.0,,-5.4000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,60.0,-30.0,,1.1000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,60.0,-30.0,,0.4000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,60.0,-30.0,,0.0000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,60.0,-30.0,,0.2000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,60.0,-30.0,,32.8000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,60.0,-30.0,,28.7000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,60.0,-30.0,,27.4000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,60.0,-30.0,,35.1000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,60.0,-30.0,,0.0000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,60.0,-30.0,,0.0000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,60.0,-30.0,,0.4000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,60.0,-30.0,,0.6000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,60.0,-30.0,,-0.1000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,60.0,-30.0,,-0.6000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,60.0,-30.0,,0.0000,,,,0.5,,,True
REV_Social Infrastructure & Citizen Services Support,FY26REV_Social Infrastructure & Citizen Services Support,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,60.0,-30.0,,1.2000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Sep 2025,30.0,60.0,-30.0,,60.7000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Nov 2025,30.0,60.0,-30.0,,59.2000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Apr 2026,30.0,60.0,-30.0,,73.4000,,,,0.5,,,True
REV_Water,FY26REV_Water,Downer,Revenue [AUD Million],,01 Jun 2026,30.0,60.0,-30.0,,101.0000,,,,0.5,,,True
REV_EU Support,FY26REV_EU Support,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,56.0,-28.0,,0.5000,,,,0.5,,,True
REV_Network Services,FY26REV_Network Services,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,56.0,-28.0,,0.0000,,,,0.5,,,True
REV_Passenger North,FY26REV_Passenger Through Life Support,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,56.0,-28.0,,26.1000,,,,0.5,,,True
REV_RTS Head Office,FY26REV_RTS Head Office,Downer,Revenue [AUD Million],,01 Feb 2026,28.0,56.0,-28.0,,0.0000,,,,0.5,,,True
