identifier,id_type,n_accounts,n_open,accounts,locations,suppliers,account_styles,replaced_on,months_with_kwh,overlap_months,surplus_kwh,surplus_tco2e,classification
2002254877,NMI,4,1,2002254877 | 10768604_2002254877 | 50002618027_2002254877 | 900018209_2002254877,Asphalt Prod - Wingfield (523) | Asphalt Prod - Wingfield (523) | Asphalt Prod - Wingfield (523) | Asphalt Prod - Wingfield (523),interval meter account | AGL | Origin | EngieAU,Electricity – purchased from grid [kWh] | Electricity Large Market | Electricity Large Market | Electricity Small Market,30 Jun 2017 | 30 Jun 2020 | 30 Jun 2026 | open,"none | none | Mar26,Apr26,May26,Jun26 | Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
2404320310,NMI,2,0,2404320310 | 2404320310,_CLOSED_BO_Penrose (Auckland) | _CLOSED_WS_New Plymouth,GENESIS ENERGY LTD | GENESIS ENERGY LTD,Electricity Green | Electricity Green,30 Jun 2017 | 30 Jun 2017,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
25003898410,NMI,2,0,25003898410 | 25003898410,WWTP - Wagga Operation | _CLOSED_WW_Bomen (Wagga Wagga),Downer | ORIGIN ELECTRICITY,Electricity – purchased from grid [kWh] | Electricity Green,31 Dec 2017 | 30 Jun 2016,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
25003898710,NMI,2,0,25003898710 | 25003898710,WWTP - Wagga Operation | _CLOSED_WW_Narrung St (Wagga Wagga),Downer | ORIGIN ELECTRICITY,Electricity – purchased from grid [kWh] | Electricity Green,31 Dec 2017 | 30 Jun 2017,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
25003898910,NMI,2,0,25003898910 | 25003898910,WWTP - Wagga Operation | _CLOSED_WW_Narrung St (Wagga Wagga),Downer | ORIGIN ELECTRICITY,Electricity – purchased from grid [kWh] | Electricity Green,31 Dec 2017 | 30 Jun 2017,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
25003899210,NMI,3,0,25003899210 | 25003899210 | 25003899210,WWTP - Wagga Operation | _CLOSED_WW_Narrung St (Wagga Wagga) | _CLOSED_WW_Kooringal (Wagga Wagga),Downer | ORIGIN ELECTRICITY | ORIGIN ELECTRICITY,Electricity – purchased from grid [kWh] | Electricity Green | Electricity Green,31 Dec 2017 | 30 Jun 2017 | 30 Jun 2017,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3030075637,NMI,4,1,50002618005_3030075637 | 1003076_3030075637 | 900018202_3030075637 | SPOT006_3030075637,Corporate - Offices (Cairns QLD) | Corporate - Offices (Cairns QLD) | Corporate - Offices (Cairns QLD) | Corporate - Offices (Cairns QLD),Origin | CSEnergy | EngieAU | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | 30 Jun 2026 | open | 30 Jun 2020,"none | Mar26,Apr26,May26,Jun26 | Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3030237963,NMI,2,0,54527848_3030237963 | A-05C85B3C_3030237963,_CLOSED_TXL - Davies Creek to Bayview Heights | _CLOSED_TXL - Davies Creek to Bayview Heights,Ergon | Ergon,Electricity Small Market | Electricity Small Market,24 Apr 2024 | 31 Aug 2025,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3038502933,NMI,2,1,43183239_3038502933 | A-18650A37_3038502933,"Rooksby St, Gladstone | Rooksby St, Gladstone",Ergon | Ergon,Electricity Small Market | Electricity Small Market,29 Dec 2023 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3038725690,NMI,2,0,DOWN001_3038725690 | 50002618004_3038725690,"Rooksby St, Gladstone | Rooksby St, Gladstone",InterGen | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2020 | 31 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3039040879,NMI,2,1,41144911_3039040879 | A-3B52C8FB_3039040879,"Rooksby St, Gladstone | Rooksby St, Gladstone",Ergon | Ergon,Electricity Small Market | Electricity Small Market,25 Sep 2024 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3039067220,NMI,2,0,DOWN001_3039067220 | 50002618010_3039067220,"Rooksby St, Gladstone | Rooksby St, Gladstone",InterGen | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2020 | 31 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3041512332,NMI,2,0,14477661_3041512332 | A-86AEAE2C_3041512332,Maryborough | Maryborough,Ergon | Ergon,Electricity Small Market | Electricity Small Market,04 Mar 2024 | 08 Mar 2026,none | Mar26,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3041528557,NMI,2,1,34729038_3041528557 | A-DD42DEC9_3041528557,UAM - Maryborough | UAM - Maryborough,Ergon | Ergon,Electricity Small Market | Electricity Small Market,29 Nov 2024 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3041781236,NMI,3,1,7101034937_3041781236 | A-011B63B4_3041781236 | 7029136236_3041781236,Maryborough | Maryborough | Maryborough,AGL | Ergon | PowerDirect,Electricity Small Market | Electricity Small Market | Electricity Small Market,19 Jan 2026 | open | 05 Oct 2022,"none | Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3050097725,NMI,3,1,18577709_3050097725 | A-6BDCA674_3050097725 | A-D2324744_3050097725,RPQ Mackay Depot | RPQ Mackay Depot | RPQ Mackay Depot,Ergon | Ergon | Ergon,Electricity Small Market | Electricity Small Market | Electricity Small Market,07 Sep 2023 | open | 05 Jan 2026,"none | May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3050416464,NMI,2,0,DOWN001_3050416464 | 50002618002_3050416464,_CLOSED_DBS_Bajool | _CLOSED_DBS_Bajool,InterGen | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3051641232,NMI,4,1,16256174_3051641232 | 38875756_3051641232 | A-3D96F89F_3051641232 | A-E566291E_3051641232,RPQ Townsville | RPQ Townsville | RPQ Townsville | RPQ Townsville,Ergon | Ergon | Ergon | Ergon,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,05 Sep 2023 | 04 Jun 2024 | 30 Jan 2026 | open,"none | none | none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3051770385,NMI,3,1,50002618017_3051770385 | 1003072_3051770385 | 24139882_3051770385,RPQ Spray Seal | RPQ Spray Seal | RPQ Spray Seal,Origin | CSEnergy | Ergon,Electricity Large Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 30 Jun 2020,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3053135053,NMI,3,0,39078361_3053135053 | A-11525536_3053135053 | A-4176013D_3053135053,Asphalt Prod - Mackay (400) | Asphalt Prod - Mackay (400) | Asphalt Prod - Mackay (400),Ergon | Ergon | Ergon,Electricity Small Market | Electricity Small Market | Electricity Small Market,01 Jun 2024 | 01 Apr 2026 | 01 Jan 2026,"none | Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3053253239,NMI,3,1,1003571_3053253239 | 5000021_3053253239 | 900018201_3053253239,Torbanlea - QTMP | Torbanlea - QTMP | Torbanlea - QTMP,CSEnergy | CSEnergy | EngieAU,Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2026 | 31 Mar 2026 | open,"none | none | Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3116382269,NMI,3,1,50002618008_3116382269 | 1003074_3116382269 | SPOT001_3116382269,PPP - Southbank TAFE (QLD) | PPP - Southbank TAFE (QLD) | PPP - Southbank TAFE (QLD),Origin | CSEnergy | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 30 Jun 2020,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3116979133,NMI,2,0,7328923625_3116979133 | 400016936538_3116979133,Kunda Park | Kunda Park,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,12 Jul 2023 | 12 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120014382,NMI,3,1,50002618021_3120014382 | 1003070_3120014382 | 50000285137_3120014382,RPQ Spray Seal | RPQ Spray Seal | RPQ Spray Seal,Origin | CSEnergy | Origin,Electricity Large Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 31 Jul 2020,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120049710,NMI,2,0,SPOT002_3120049710 | 50002618015_3120049710,_CLOSED_Laundry - Darra (QLD) | _CLOSED_Laundry - Darra (QLD),InterGen | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120062461,NMI,2,0,SPOT003_3120062461 | 50002617999_3120062461,_CLOSED_Laundry - Darra (QLD) | _CLOSED_Laundry - Darra (QLD),InterGen | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120070486,NMI,3,1,25003208510_3120070486 | 1003071_3120070486 | 50002835202_3120070486,RPQ Swanbank | RPQ Swanbank | RPQ Swanbank,Origin | CSEnergy | Origin,Electricity Large Market | Electricity Small Market | Electricity Small Market,31 Dec 2022 | open | 30 Jun 2023,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120103988,NMI,4,1,50002618014_3120103988 | 1003079_3120103988 | 5000021_3120103988 | DOWN001_3120103988,Asphalt Prod - Bli Bli (408) | Asphalt Prod - Bli Bli (408) | Asphalt Prod - Bli Bli (408) | Asphalt Prod - Bli Bli (408),Origin | CSEnergy | CSEnergy | InterGen,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | open | 31 Mar 2026 | 30 Jun 2020,"none | Apr26,May26,Jun26,Jul26,Aug26 | Mar26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120121442,NMI,2,0,3308939320_3120121442 | 400031350533_3120121442,Utilities - Milton (NBN Office) | Utilities - Milton (NBN Office),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2024 | 26 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120121443,NMI,2,0,9189539267_3120121443 | 400030839239_3120121443,Utilities - Milton (NBN Office) | Utilities - Milton (NBN Office),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2024 | 26 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120121444,NMI,2,0,5316602063_3120121444 | 400031350541_3120121444,Utilities - Milton (NBN Office) | Utilities - Milton (NBN Office),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2024 | 26 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120121445,NMI,2,0,7127969701_3120121445 | 400031350558_3120121445,Utilities - Milton (NBN Office) | Utilities - Milton (NBN Office),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2024 | 26 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120136120,NMI,3,0,50002703328_3120136120 | 1003073_3120136120 | 400025892383_3120136120,RPQ Spray Seal | RPQ Spray Seal | RPQ Spray Seal,Origin | CSEnergy | Origin,Electricity Large Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | 06 Nov 2023 | 31 Mar 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120143385,NMI,3,1,SPOT004_3120143385 | 50002618012_3120143385 | 1003075_3120143385,PPP - Sunshine Coast University Hospital | PPP - Sunshine Coast University Hospital | PPP - Sunshine Coast University Hospital,InterGen | Origin | CSEnergy,Electricity Large Market | Electricity Large Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2023 | open,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120255777,NMI,3,1,7099514643_3120255777 | 3096510985_3120255777 | 400022669974_3120255777,Utilita - Eagle Farm | Utilita - Eagle Farm | Utilita - Eagle Farm,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 12 Jul 2023 | 09 Aug 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120257006,NMI,3,1,7099514650_3120257006 | 3470278335_3120257006 | 400022669990_3120257006,Utilita - Eagle Farm | Utilita - Eagle Farm | Utilita - Eagle Farm,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 12 Jul 2023 | 09 Aug 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
3120725958,NMI,4,1,50002700679_3120725958 | 1003078_3120725958 | 5000021_3120725958 | 900018199_3120725958,Asphalt Prod - Brendale (423) | Asphalt Prod - Brendale (423) | Asphalt Prod - Brendale (423) | Asphalt Prod - Brendale (423),Origin | CSEnergy | CSEnergy | EngieAU,Electricity Large Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,30 Jun 2023 | 30 Jun 2026 | 31 Mar 2026 | open,"none | Apr26,May26,Jun26 | Mar26 | Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001050448,NMI,2,1,200021563685_4001050448 | A-5F3C0784_4001050448,Forbes | Forbes,Origin | Origin,Electricity Small Market | Electricity Small Market,19 Jul 2021 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001127731,NMI,3,1,9863438916_4001127731 | 200021562893_4001127731 | 50002769514_4001127731,Asphalt Prod - Mogo (154) | Asphalt Prod - Mogo (154) | Asphalt Prod - Mogo (154),EnergyAustralia | Origin | Origin,Electricity Large Market | Electricity Small Market | Electricity Small Market,15 Nov 2021 | 05 Jul 2021 | open,"none | none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001128707,NMI,2,1,200021563628_4001128707 | A-2A4343BB_4001128707,Tamworth | Tamworth,Origin | Origin,Electricity Small Market | Electricity Small Market,11 Aug 2021 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001158058,NMI,2,1,385299_4001158058 | 50002617983_4001158058,Tamworth | Tamworth,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | Mar26,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001198085,NMI,2,1,385274_4001198085 | 50002617982_4001198085,PPP - NSW Schools 2 (Kelso HS) | PPP - NSW Schools 2 (Kelso HS),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001200751,NMI,2,1,385289_4001200751 | 50002617969_4001200751,PPP - HQJOC (ACT) | PPP - HQJOC (ACT),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001263922,NMI,2,0,8932962077_4001263922 | 200046323537_4001263922,_CLOSED_Lane Cove (DMJV) | _CLOSED_Lane Cove (DMJV),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,08 Feb 2022 | 21 Jul 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001277522,NMI,2,1,A-480CA3BE_4001277522 | A-B500CC5F_4001277522,RPQ NSW South Grafton | RPQ NSW South Grafton,Origin | Origin,Electricity Small Market | Electricity Small Market,open | 28 Sep 2023,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001287259,NMI,2,1,50002617997_4001287259 | 200034933644_4001287259,RPQ NSW Moree | NSW Spray Seal,Origin | Origin,Electricity Large Market | Electricity Small Market,open | 30 Jun 2020,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001296828,NMI,2,0,200047452822_4001296828 | 200051261267_4001296828,Residences_NSW | Residences_NSW,Origin | Origin,Electricity Small Market | Electricity Small Market,13 Dec 2020 | 12 Mar 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4001302737,NMI,2,0,A-8502348D_4001302737 | A-BA334E99_4001302737,_CLOSED_RPQ NSW Kelso | _CLOSED_RPQ NSW Kelso,Origin | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2023 | 31 Jul 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4102009107,NMI,2,0,385311_4102009107 | 50002617961_4102009107,_CLOSED_Gladesville | _CLOSED_Gladesville,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,20 Jun 2022 | 20 Jun 2022,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4102011927,NMI,3,0,2615348061_4102011927 | 9444032000_4102011927 | 50002650721_4102011927,_CLOSED_Laundry - Rosebery (NSW) | _CLOSED_Laundry - Rosebery (NSW) | _CLOSED_Laundry - Rosebery (NSW),EnergyAustralia | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,18 Nov 2021 | 20 May 2020 | 19 Aug 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4102017645,NMI,2,0,389198_4102017645 | 50002617974_4102017645,_CLOSED_Gladesville | _CLOSED_Gladesville,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,20 Jun 2022 | 20 Jun 2022,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4102031082,NMI,2,0,385283_4102031082 | 50002617984_4102031082,_CLOSED_Gladesville | _CLOSED_Gladesville,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,20 Jun 2022 | 20 Jun 2022,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4102488790,NMI,3,0,2242057648_4102488790 | 9560671000_4102488790 | 200052557416_4102488790,UAM - Kirrawee | UAM - Kirrawee | UAM - Kirrawee,EnergyAustralia | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,04 Jul 2023 | 15 Apr 2021 | 22 Aug 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103037394,NMI,3,0,0329322355_4103037394 | 5732250000_4103037394 | 50002650726_4103037394,_CLOSED_Laundry - Rosebery (NSW) | _CLOSED_Laundry - Rosebery (NSW) | _CLOSED_Laundry - Rosebery (NSW),EnergyAustralia | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,18 Nov 2021 | 13 Jul 2020 | 30 Jun 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103037397,NMI,2,0,2928950000_4103037397 | 50002650722_4103037397,_CLOSED_Laundry - Rosebery (NSW) | _CLOSED_Laundry - Rosebery (NSW),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,14 Jul 2020 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103181482,NMI,2,0,385286_4103181482 | 50002617978_4103181482,_CLOSED_Laundry - Somersby (NSW) | _CLOSED_Laundry - Somersby (NSW),EnergyAustralia | Origin,Electricity Large Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103512492,NMI,4,0,4481630000_4103512492 | 8413114943_4103512492 | 200052557432_4103512492 | A-221EE70B_4103512492,UAM - Kirrawee | UAM - Kirrawee | UAM - Kirrawee | UAM - Kirrawee,EnergyAustralia | EnergyAustralia | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,16 Apr 2021 | 12 Nov 2023 | 16 Aug 2021 | 30 Jun 2024,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103590294,NMI,5,0,1355684191_4103590294 | 3140857870_4103590294 | EW840280_4103590294 | 50002650724_4103590294 | A-D2388787_4103590294,_CLOSED_Charmhaven NSW | _CLOSED_Charmhaven NSW | _CLOSED_Charmhaven NSW | _CLOSED_Charmhaven NSW | _CLOSED_Charmhaven NSW,EnergyAustralia | EnergyAustralia | EnergyAustralia | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,10 Jul 2023 | 07 Jul 2020 | 07 Apr 2020 | 08 Jul 2021 | 17 Jul 2024,none | none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103705443,NMI,2,1,50002617995_4103705443 | 3229870000_4103705443,PPP - NSW Schools 2 (Warnervale PS) | PPP - NSW Schools 2 (Warnervale PS),Origin | EnergyAustralia,Electricity Large Market | Electricity Small Market,open | 30 Jun 2020,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103711576,NMI,2,1,385297_4103711576 | 50002617965_4103711576,Auburn | Auburn,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103713125,NMI,2,1,385287_4103713125 | 50002617957_4103713125,Auburn | Auburn,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103734480,NMI,2,0,9911865431_4103734480 | 200029702525_4103734480,_CLOSED_Lane Cove (DMJV) | _CLOSED_Lane Cove (DMJV),EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Sep 2022 | 10 Oct 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103737079,NMI,2,1,385314_4103737079 | 50002617973_4103737079,_CLOSED_ North Ryde T1 - Level 2 | North Ryde T1 - Level 1,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103737729,NMI,2,1,385282_4103737729 | 50002617971_4103737729,North Ryde T1 - Level 1 | North Ryde T1 - Level 1,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103742938,NMI,2,1,385300_4103742938 | 50002617975_4103742938,North Ryde T1 - Level 3 | North Ryde T1 - Level 3,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103742939,NMI,2,1,385315_4103742939 | 50002617966_4103742939,North Ryde T1 - Level 3 | North Ryde T1 - Level 3,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103742940,NMI,2,1,385298_4103742940 | 50002617985_4103742940,North Ryde T1 - Level 4 | North Ryde T1 - Level 4,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103749631,NMI,2,0,385303_4103749631 | 50002617979_4103749631,_CLOSED_Mt Thorley - Engineering | _CLOSED_Mt Thorley - Engineering,EnergyAustralia | Origin,Electricity Large Market | Electricity Small Market,30 Jun 2020 | 30 Nov 2020,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103759848,NMI,2,1,385294_4103759848 | 50002617958_4103759848,North Ryde T3 - Level 2 | North Ryde T3 - Level 2,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103759849,NMI,2,1,385292_4103759849 | 50002617952_4103759849,North Ryde T3 - Level 3 | North Ryde T3 - Level 3,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103765069,NMI,3,0,1391494862_4103765069 | 1668328685_4103765069 | A-0BD265E9_4103765069,"Newcastle - Stenhouse Dr, Cameron Pk | Newcastle - Stenhouse Dr, Cameron Pk | Newcastle - Stenhouse Dr, Cameron Pk",EnergyAustralia | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,13 Jul 2020 | 30 Jun 2023 | 20 Dec 2023,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103766552,NMI,2,1,385291_4103766552 | 50002617993_4103766552,PPP - NSW Schools 2 (Kariong) | PPP - NSW Schools 2 (Kariong),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103803680,NMI,2,1,385309_4103803680 | 50002617953_4103803680,Hexham Office | Hexham Office,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103805882,NMI,2,0,385306_4103805882 | 50002617962_4103805882,_CLOSED_Gladesville | _CLOSED_Gladesville,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,20 Jun 2022 | 20 Jun 2022,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103813817,NMI,2,0,385290_4103813817 | 50002617990_4103813817,_CLOSED_Corporate - Offices (Sydney Rhodes NSW) | _CLOSED_Corporate - Offices (Sydney Rhodes NSW),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | 17 Jan 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103893142,NMI,2,1,385296_4103893142 | 50002617991_4103893142,Hexham Office | Hexham Office,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103927804,NMI,2,1,385279_4103927804 | 50002617960_4103927804,PPP - SICEEP | PPP - SICEEP,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103927806,NMI,2,1,385276_4103927806 | 50002617968_4103927806,PPP - SICEEP | PPP - SICEEP,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103927808,NMI,2,1,385284_4103927808 | 50002617956_4103927808,PPP - SICEEP | PPP - SICEEP,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
