"Organization","Location","Virtual Account Name","Virtual Account Link","Relationship Link","Effective From YYYY-MM-DD","Effective To YYYY-MM-DD","Rule Name","Rule Link","Rule Description","Rule Formula","Variable Name","Variable Link","Source Type","Source Name","Source Link","Source Apportionment","Delete Relationship"
"Downer","Bitumen - Bluff","Copy of Eco_ICP_0000931749NV418_CERTS","6397552","84",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000931749NV418","6223429","100.0000",""
"Downer","Bitumen - Lyttleton","Copy of Eco_ICP_0006863450RN0A4_CERTS","6397553","85",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0006863450RN0A4","6223431","100.0000",""
"Downer","Bitumen - Lyttleton","Copy of Eco_ICP_0007202058RN859_CERTS","6397554","86",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0007202058RN859","6223430","100.0000",""
"Downer","Bitumen - Mt Maunganui","Copy of Eco_ICP_0000939570TUEC4_CERTS","6397555","87",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0000939570TUEC4","6223432","100.0000",""
"Downer","Bitumen - Taranaki","Copy of Eco_ICP_0001510110PCCA2_CERTS","6397556","88",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_0001510110PCCA2","6223433","100.0000",""
"Downer","BOP Omanawa - 345 Matakokiri Drive, Tauranga","Copy of Eco_ICP_1000610486PC18D_CERTS","6397557","89",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Eco_ICP_1000610486PC18D","6223442","100.0000",""
"Downer","Calder Park Light Service Facility","Calder Park 100% Renewable Electricity","6401429","114",,,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","Grid Electricity","6397585","100.0000",""
"Downer","Cardiff - Rail","Tenant 1109120_5247064745","6397571","102",,,"Cardiff Gas Tenant Apportionment","6000016","","{6000022}*{6000023}","GJ","6000022","Account","1109120_5247064745","6198815","100.0000",""
"Downer","Cardiff - Rail","Tenant 51632065_5247064745","6397572","101",,,"Cardiff Gas Tenant Apportionment","6000016","","{6000022}*{6000023}","GJ","6000022","Account","51632065_5247064745","6166885","100.0000",""
"Downer","Cardiff - Rail","Tenant 700000536_ZZZZ001261","6397575","109",,,"Cardiff Electricity Apportionment","6000017","To reflect the fact that 40.4% is paid by the client","-({6000024})*{6000025}","Total Cost","6000024","Account","700000536_ZZZZ001261","6219891","100.0000",""
"Downer","Cardiff - Rail","Tenant 700000536_ZZZZ001261","6397575","106",,,"Cardiff Tenant Apportionment","6000015","This apportionment is to account for the portion of the Cardiff Rail site that Downer is co-occupying with Progress Rail","(-{6000020})*{6000021}","Kilowatt hours","6000020","Account","700000536_ZZZZ001261","6219891","100.0000",""
"Downer","Cardiff - Rail","Tenant 7733066771_5247064745","6397570","103",,,"Cardiff Gas Tenant Apportionment","6000016","","{6000022}*{6000023}","GJ","6000022","Account","7733066771_5247064745","6207348","100.0000",""
"Downer","Cardiff - Rail","Tenant 9248380435_5247064745","6397569","104",,,"Cardiff Gas Tenant Apportionment","6000016","","{6000022}*{6000023}","GJ","6000022","Account","9248380435_5247064745","6220412","100.0000",""
"Downer","Cardiff - Rail","Tenant A-DF77364D_5247064745","6397573","105",,,"Cardiff Gas Tenant Apportionment","6000016","","{6000022}*{6000023}","GJ","6000022","Account","A-DF77364D_5247064745","6221346","100.0000",""
"Downer","Cardiff - Rail","Tenant Apportionment 50002958793_5247064745","6397568","100",,,"Cardiff Gas Tenant Apportionment","6000016","","{6000022}*{6000023}","GJ","6000022","Account","50002958793_5247064745","6389436","100.0000",""
"Downer","Cardiff - Rail","Tenant Electricity_Cardiff Rail","6397574","108",,,"Cardiff Electricity Apportionment","6000017","To reflect the fact that 40.4% is paid by the client","-({6000024})*{6000025}","Total Cost","6000024","Account","Electricity_Cardiff Rail","6133983","100.0000",""
