"Organization","Location","Virtual Account Name","Virtual Account Link","Relationship Link","Effective From YYYY-MM-DD","Effective To YYYY-MM-DD","Rule Name","Rule Link","Rule Description","Rule Formula","Variable Name","Variable Link","Source Type","Source Name","Source Link","Source Apportionment","Delete Relationship"
"Downer","North Ryde T1 - Level 1","50002617971_4103737729_CERTS","6403538","147","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617971_4103737729","6181415","100.0000",""
"Downer","North Ryde T1 - Level 1","50002617973_4103737079_CERTS","6403537","146","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617973_4103737079","6182734","100.0000",""
"Downer","North Ryde T1 - Level 3","50002617966_4103742939_CERTS","6403540","149","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617966_4103742939","6182731","100.0000",""
"Downer","North Ryde T1 - Level 3","50002617975_4103742938_CERTS","6403539","148","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617975_4103742938","6182735","100.0000",""
"Downer","North Ryde T1 - Level 4","50002617985_4103742940_CERTS","6403541","150","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617985_4103742940","6182741","100.0000",""
"Downer","North Ryde T3 - Level 2","50002617958_4103759848_CERTS","6403542","151","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617958_4103759848","6182726","100.0000",""
"Downer","North Ryde T3 - Level 3","50002617952_4103759849_CERTS","6403543","152","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617952_4103759849","6182722","100.0000",""
"Downer","PPP - HQJOC (ACT)","50002617969_4001200751_CERTS","6403513","140","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617969_4001200751","6182789","100.0000",""
"Downer","PPP - NSW Schools 2 (Ashtonfield PS)","50002716068_4103689689_CERTS","6403533","142","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002716068_4103689689","6195533","100.0000",""
"Downer","PPP - NSW Schools 2 (Elderslie PS)","50002617988_4311006154_CERTS","6403560","169","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617988_4311006154","6182742","100.0000",""
