Page,Section,SubSection,EmissionsFactorLabel,Unit,UUID,Type,Assumptions,GHG,EmissionFactor,Uncertainties
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Mules and asses,per head,2b9828bc-f703-4505-8210-78a359871c65,Mules and asses,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Mules and asses,per head,2b9828bc-f703-4505-8210-78a359871c65,Mules and asses,,GHG_N2O_KGCO2_e,51.39,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Mules and asses,per head,2b9828bc-f703-4505-8210-78a359871c65,Mules and asses,,GHG_TOTAL_KGCO2_e,51.39,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Non-dairy cattle,per head,4a9ec6fe-f787-4e41-bade-fe8d24d1af27,Non-dairy cattle,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Non-dairy cattle,per head,4a9ec6fe-f787-4e41-bade-fe8d24d1af27,Non-dairy cattle,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Non-dairy cattle,per head,4a9ec6fe-f787-4e41-bade-fe8d24d1af27,Non-dairy cattle,,GHG_N2O_KGCO2_e,260.071,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Non-dairy cattle,per head,4a9ec6fe-f787-4e41-bade-fe8d24d1af27,Non-dairy cattle,,GHG_TOTAL_KGCO2_e,260.071,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Poultry,per head,db3db7ce-9f24-4a18-a492-ecd761e04c2c,Poultry,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Poultry,per head,db3db7ce-9f24-4a18-a492-ecd761e04c2c,Poultry,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Poultry,per head,db3db7ce-9f24-4a18-a492-ecd761e04c2c,Poultry,,GHG_N2O_KGCO2_e,0.811382,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Poultry,per head,db3db7ce-9f24-4a18-a492-ecd761e04c2c,Poultry,,GHG_TOTAL_KGCO2_e,0.811382,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Sheep,per head,42e3cf55-c3e3-4827-96e7-84ad526fa46a,Sheep,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Sheep,per head,42e3cf55-c3e3-4827-96e7-84ad526fa46a,Sheep,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Sheep,per head,42e3cf55-c3e3-4827-96e7-84ad526fa46a,Sheep,,GHG_N2O_KGCO2_e,29.4964,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Sheep,per head,42e3cf55-c3e3-4827-96e7-84ad526fa46a,Sheep,,GHG_TOTAL_KGCO2_e,29.4964,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Swine,per head,241384f6-0e24-4968-b11a-93e0f7934f81,Swine,,GHG_CH4_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Swine,per head,241384f6-0e24-4968-b11a-93e0f7934f81,Swine,,GHG_CO2_KGCO2_e,0,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Swine,per head,241384f6-0e24-4968-b11a-93e0f7934f81,Swine,,GHG_N2O_KGCO2_e,17.6971,54.1%
"Agriculture, forestry and other land uses",Agricultural soils (live stock),Agricultural soils (live stock),Swine,per head,241384f6-0e24-4968-b11a-93e0f7934f81,Swine,,GHG_TOTAL_KGCO2_e,17.6971,54.1%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Alpaca and llama,per head,5dc945ac-b2d9-4a3f-8461-b6adb1af2b80,Alpaca and llama,,GHG_CH4_KGCO2_e,224,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Alpaca and llama,per head,5dc945ac-b2d9-4a3f-8461-b6adb1af2b80,Alpaca and llama,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Alpaca and llama,per head,5dc945ac-b2d9-4a3f-8461-b6adb1af2b80,Alpaca and llama,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Alpaca and llama,per head,5dc945ac-b2d9-4a3f-8461-b6adb1af2b80,Alpaca and llama,,GHG_TOTAL_KGCO2_e,224,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Dairy cattle,per head,7f299690-1de9-4020-9cb0-b48729625289,Dairy cattle,,GHG_CH4_KGCO2_e,2700.7,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Dairy cattle,per head,7f299690-1de9-4020-9cb0-b48729625289,Dairy cattle,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Dairy cattle,per head,7f299690-1de9-4020-9cb0-b48729625289,Dairy cattle,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Dairy cattle,per head,7f299690-1de9-4020-9cb0-b48729625289,Dairy cattle,,GHG_TOTAL_KGCO2_e,2700.7,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Deer,per head,673d68e1-14ed-4b2d-aaae-5bdcd34b0704,Deer,,GHG_CH4_KGCO2_e,558.855,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Deer,per head,673d68e1-14ed-4b2d-aaae-5bdcd34b0704,Deer,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Deer,per head,673d68e1-14ed-4b2d-aaae-5bdcd34b0704,Deer,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Deer,per head,673d68e1-14ed-4b2d-aaae-5bdcd34b0704,Deer,,GHG_TOTAL_KGCO2_e,558.855,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Emus and Ostriches,per head,d31f11f0-2e85-432a-a260-b8e2c0fa17f8,Emus and Ostriches,,GHG_CH4_KGCO2_e,145.6,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Emus and Ostriches,per head,d31f11f0-2e85-432a-a260-b8e2c0fa17f8,Emus and Ostriches,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Emus and Ostriches,per head,d31f11f0-2e85-432a-a260-b8e2c0fa17f8,Emus and Ostriches,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Emus and Ostriches,per head,d31f11f0-2e85-432a-a260-b8e2c0fa17f8,Emus and Ostriches,,GHG_TOTAL_KGCO2_e,145.6,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Goats,per head,c243cdf7-1222-4c65-ad8d-096bdf7286ec,Goats,,GHG_CH4_KGCO2_e,250.968,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Goats,per head,c243cdf7-1222-4c65-ad8d-096bdf7286ec,Goats,,GHG_CO2_KGCO2_e,0,15.5%
