Page,Section,SubSection,EmissionsFactorLabel,Unit,UUID,Type,Assumptions,GHG,EmissionFactor,Uncertainties
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 20,000 - 25,000 kg",km,5a127d1e-49b2-446b-9950-53f3c7f13989,"HGV diesel hybrid: 20,000 - 25,000 kg",,GHG_CH4_KGCO2_e,0.00174469,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 20,000 - 25,000 kg",km,5a127d1e-49b2-446b-9950-53f3c7f13989,"HGV diesel hybrid: 20,000 - 25,000 kg",,GHG_CO2_KGCO2_e,1.16213,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 20,000 - 25,000 kg",km,5a127d1e-49b2-446b-9950-53f3c7f13989,"HGV diesel hybrid: 20,000 - 25,000 kg",,GHG_N2O_KGCO2_e,0.0165122,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 20,000 - 25,000 kg",km,5a127d1e-49b2-446b-9950-53f3c7f13989,"HGV diesel hybrid: 20,000 - 25,000 kg",,GHG_TOTAL_KGCO2_e,1.18039,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 25,000 - 30,000 kg",km,debe9c87-fe58-4b37-842b-a17fd1ae8063,"HGV diesel hybrid: 25,000 - 30,000 kg",,GHG_CH4_KGCO2_e,0.0020148,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 25,000 - 30,000 kg",km,debe9c87-fe58-4b37-842b-a17fd1ae8063,"HGV diesel hybrid: 25,000 - 30,000 kg",,GHG_CO2_KGCO2_e,1.34206,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 25,000 - 30,000 kg",km,debe9c87-fe58-4b37-842b-a17fd1ae8063,"HGV diesel hybrid: 25,000 - 30,000 kg",,GHG_N2O_KGCO2_e,0.0190687,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 25,000 - 30,000 kg",km,debe9c87-fe58-4b37-842b-a17fd1ae8063,"HGV diesel hybrid: 25,000 - 30,000 kg",,GHG_TOTAL_KGCO2_e,1.36314,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 5,000 - 7,500 kg",km,c2c959e7-e9c5-4490-afba-76747e00167f,"HGV diesel hybrid: 5,000 - 7,500 kg",,GHG_CH4_KGCO2_e,0.000603809,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 5,000 - 7,500 kg",km,c2c959e7-e9c5-4490-afba-76747e00167f,"HGV diesel hybrid: 5,000 - 7,500 kg",,GHG_CO2_KGCO2_e,0.402196,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 5,000 - 7,500 kg",km,c2c959e7-e9c5-4490-afba-76747e00167f,"HGV diesel hybrid: 5,000 - 7,500 kg",,GHG_N2O_KGCO2_e,0.00571462,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 5,000 - 7,500 kg",km,c2c959e7-e9c5-4490-afba-76747e00167f,"HGV diesel hybrid: 5,000 - 7,500 kg",,GHG_TOTAL_KGCO2_e,0.408514,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 7,500 - 10,000 kg",km,4cdb99d4-36ec-495f-bfef-c99fdf6eb6da,"HGV diesel hybrid: 7,500 - 10,000 kg",,GHG_CH4_KGCO2_e,0.000738472,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 7,500 - 10,000 kg",km,4cdb99d4-36ec-495f-bfef-c99fdf6eb6da,"HGV diesel hybrid: 7,500 - 10,000 kg",,GHG_CO2_KGCO2_e,0.491894,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 7,500 - 10,000 kg",km,4cdb99d4-36ec-495f-bfef-c99fdf6eb6da,"HGV diesel hybrid: 7,500 - 10,000 kg",,GHG_N2O_KGCO2_e,0.00698911,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: 7,500 - 10,000 kg",km,4cdb99d4-36ec-495f-bfef-c99fdf6eb6da,"HGV diesel hybrid: 7,500 - 10,000 kg",,GHG_TOTAL_KGCO2_e,0.499622,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: <5,000 kg",km,3ff399bd-f6c5-4ab8-abfb-59bb87dcb0c7,"HGV diesel hybrid: <5,000 kg",,GHG_CH4_KGCO2_e,0.000527198,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: <5,000 kg",km,3ff399bd-f6c5-4ab8-abfb-59bb87dcb0c7,"HGV diesel hybrid: <5,000 kg",,GHG_CO2_KGCO2_e,0.351165,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: <5,000 kg",km,3ff399bd-f6c5-4ab8-abfb-59bb87dcb0c7,"HGV diesel hybrid: <5,000 kg",,GHG_N2O_KGCO2_e,0.00498955,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: <5,000 kg",km,3ff399bd-f6c5-4ab8-abfb-59bb87dcb0c7,"HGV diesel hybrid: <5,000 kg",,GHG_TOTAL_KGCO2_e,0.356682,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: >=30,000 kg",km,abd3a309-203b-468a-908c-3cd584dcd0c9,"HGV diesel hybrid: >=30,000 kg",,GHG_CH4_KGCO2_e,0.00212261,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: >=30,000 kg",km,abd3a309-203b-468a-908c-3cd584dcd0c9,"HGV diesel hybrid: >=30,000 kg",,GHG_CO2_KGCO2_e,1.41387,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: >=30,000 kg",km,abd3a309-203b-468a-908c-3cd584dcd0c9,"HGV diesel hybrid: >=30,000 kg",,GHG_N2O_KGCO2_e,0.020089,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel hybrid: >=30,000 kg",km,abd3a309-203b-468a-908c-3cd584dcd0c9,"HGV diesel hybrid: >=30,000 kg",,GHG_TOTAL_KGCO2_e,1.43608,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 10,000 - 12,000 kg",km,b54d662b-cc8a-4a1e-886f-ab5c8b1bb725,"HGV diesel: 10,000 - 12,000 kg",,GHG_CH4_KGCO2_e,0.00108638,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 10,000 - 12,000 kg",km,b54d662b-cc8a-4a1e-886f-ab5c8b1bb725,"HGV diesel: 10,000 - 12,000 kg",,GHG_CO2_KGCO2_e,0.723637,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 10,000 - 12,000 kg",km,b54d662b-cc8a-4a1e-886f-ab5c8b1bb725,"HGV diesel: 10,000 - 12,000 kg",,GHG_N2O_KGCO2_e,0.0102818,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 10,000 - 12,000 kg",km,b54d662b-cc8a-4a1e-886f-ab5c8b1bb725,"HGV diesel: 10,000 - 12,000 kg",,GHG_TOTAL_KGCO2_e,0.735005,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 12,000 - 15,000 kg",km,f839b9c4-5a7c-4ab1-9a32-b8efc2f8c3db,"HGV diesel: 12,000 - 15,000 kg",,GHG_CH4_KGCO2_e,0.00123447,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 12,000 - 15,000 kg",km,f839b9c4-5a7c-4ab1-9a32-b8efc2f8c3db,"HGV diesel: 12,000 - 15,000 kg",,GHG_CO2_KGCO2_e,0.822279,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 12,000 - 15,000 kg",km,f839b9c4-5a7c-4ab1-9a32-b8efc2f8c3db,"HGV diesel: 12,000 - 15,000 kg",,GHG_N2O_KGCO2_e,0.0116834,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 12,000 - 15,000 kg",km,f839b9c4-5a7c-4ab1-9a32-b8efc2f8c3db,"HGV diesel: 12,000 - 15,000 kg",,GHG_TOTAL_KGCO2_e,0.835197,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 15,000 - 20,000 kg",km,d875f38f-2fa0-4df0-b3f7-9e5b5a139b7f,"HGV diesel: 15,000 - 20,000 kg",,GHG_CH4_KGCO2_e,0.0014418,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 15,000 - 20,000 kg",km,d875f38f-2fa0-4df0-b3f7-9e5b5a139b7f,"HGV diesel: 15,000 - 20,000 kg",,GHG_CO2_KGCO2_e,0.960378,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 15,000 - 20,000 kg",km,d875f38f-2fa0-4df0-b3f7-9e5b5a139b7f,"HGV diesel: 15,000 - 20,000 kg",,GHG_N2O_KGCO2_e,0.0136456,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 15,000 - 20,000 kg",km,d875f38f-2fa0-4df0-b3f7-9e5b5a139b7f,"HGV diesel: 15,000 - 20,000 kg",,GHG_TOTAL_KGCO2_e,0.975465,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 20,000 - 25,000 kg",km,f177bc19-9e47-4d14-bc99-af6f9ee72a08,"HGV diesel: 20,000 - 25,000 kg",,GHG_CH4_KGCO2_e,0.00191963,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 20,000 - 25,000 kg",km,f177bc19-9e47-4d14-bc99-af6f9ee72a08,"HGV diesel: 20,000 - 25,000 kg",,GHG_CO2_KGCO2_e,1.27866,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 20,000 - 25,000 kg",km,f177bc19-9e47-4d14-bc99-af6f9ee72a08,"HGV diesel: 20,000 - 25,000 kg",,GHG_N2O_KGCO2_e,0.0181679,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 20,000 - 25,000 kg",km,f177bc19-9e47-4d14-bc99-af6f9ee72a08,"HGV diesel: 20,000 - 25,000 kg",,GHG_TOTAL_KGCO2_e,1.29875,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 25,000 - 30,000 kg",km,496cbade-16e2-4295-9b3d-7308f39bf68c,"HGV diesel: 25,000 - 30,000 kg",,GHG_CH4_KGCO2_e,0.00226201,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 25,000 - 30,000 kg",km,496cbade-16e2-4295-9b3d-7308f39bf68c,"HGV diesel: 25,000 - 30,000 kg",,GHG_CO2_KGCO2_e,1.50672,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 25,000 - 30,000 kg",km,496cbade-16e2-4295-9b3d-7308f39bf68c,"HGV diesel: 25,000 - 30,000 kg",,GHG_N2O_KGCO2_e,0.0214083,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 25,000 - 30,000 kg",km,496cbade-16e2-4295-9b3d-7308f39bf68c,"HGV diesel: 25,000 - 30,000 kg",,GHG_TOTAL_KGCO2_e,1.53039,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 5,000 - 7,500 kg",km,e4c2a8f6-9dee-4835-83e8-cda3765131a2,"HGV diesel: 5,000 - 7,500 kg",,GHG_CH4_KGCO2_e,0.000749134,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 5,000 - 7,500 kg",km,e4c2a8f6-9dee-4835-83e8-cda3765131a2,"HGV diesel: 5,000 - 7,500 kg",,GHG_CO2_KGCO2_e,0.498997,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 5,000 - 7,500 kg",km,e4c2a8f6-9dee-4835-83e8-cda3765131a2,"HGV diesel: 5,000 - 7,500 kg",,GHG_N2O_KGCO2_e,0.00709002,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 5,000 - 7,500 kg",km,e4c2a8f6-9dee-4835-83e8-cda3765131a2,"HGV diesel: 5,000 - 7,500 kg",,GHG_TOTAL_KGCO2_e,0.506836,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 7,500 - 10,000 kg",km,b296ab02-2240-40bf-90d4-5caeadfeb553,"HGV diesel: 7,500 - 10,000 kg",,GHG_CH4_KGCO2_e,0.000916179,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 7,500 - 10,000 kg",km,b296ab02-2240-40bf-90d4-5caeadfeb553,"HGV diesel: 7,500 - 10,000 kg",,GHG_CO2_KGCO2_e,0.610265,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 7,500 - 10,000 kg",km,b296ab02-2240-40bf-90d4-5caeadfeb553,"HGV diesel: 7,500 - 10,000 kg",,GHG_N2O_KGCO2_e,0.00867098,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: 7,500 - 10,000 kg",km,b296ab02-2240-40bf-90d4-5caeadfeb553,"HGV diesel: 7,500 - 10,000 kg",,GHG_TOTAL_KGCO2_e,0.619852,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: <5,000 kg",km,76d006f1-2b34-493a-ba28-b5d2b0c5c4be,"HGV diesel: <5,000 kg",,GHG_CH4_KGCO2_e,0.000653962,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: <5,000 kg",km,76d006f1-2b34-493a-ba28-b5d2b0c5c4be,"HGV diesel: <5,000 kg",,GHG_CO2_KGCO2_e,0.435603,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: <5,000 kg",km,76d006f1-2b34-493a-ba28-b5d2b0c5c4be,"HGV diesel: <5,000 kg",,GHG_N2O_KGCO2_e,0.00618928,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: <5,000 kg",km,76d006f1-2b34-493a-ba28-b5d2b0c5c4be,"HGV diesel: <5,000 kg",,GHG_TOTAL_KGCO2_e,0.442446,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: >=30,000 kg",km,ba82448b-cc09-4ada-8c66-69dc3613f128,"HGV diesel: >=30,000 kg",,GHG_CH4_KGCO2_e,0.00226201,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: >=30,000 kg",km,ba82448b-cc09-4ada-8c66-69dc3613f128,"HGV diesel: >=30,000 kg",,GHG_CO2_KGCO2_e,1.50672,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: >=30,000 kg",km,ba82448b-cc09-4ada-8c66-69dc3613f128,"HGV diesel: >=30,000 kg",,GHG_N2O_KGCO2_e,0.0214083,
Freight Transport,Heavy Goods Vehicles,Pre 2010 Fleet,"HGV diesel: >=30,000 kg",km,ba82448b-cc09-4ada-8c66-69dc3613f128,"HGV diesel: >=30,000 kg",,GHG_TOTAL_KGCO2_e,1.53039,
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: 0-9999 dwt,tkm,68e3583c-4cc9-406b-a76f-b2c3b48d4807,Bulk carrier: 0-9999 dwt,,GHG_CH4_KGCO2_e,0.00001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: 0-9999 dwt,tkm,68e3583c-4cc9-406b-a76f-b2c3b48d4807,Bulk carrier: 0-9999 dwt,,GHG_CO2_KGCO2_e,0.0292,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: 0-9999 dwt,tkm,68e3583c-4cc9-406b-a76f-b2c3b48d4807,Bulk carrier: 0-9999 dwt,,GHG_N2O_KGCO2_e,0.00035,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: 0-9999 dwt,tkm,68e3583c-4cc9-406b-a76f-b2c3b48d4807,Bulk carrier: 0-9999 dwt,,GHG_TOTAL_KGCO2_e,0.02956,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 10,000-34,999 dwt",tkm,665a83f4-8998-4e28-8900-9b0df5d998b4,"Bulk carrier: 10,000-34,999 dwt",,GHG_CH4_KGCO2_e,0.00000224,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 10,000-34,999 dwt",tkm,665a83f4-8998-4e28-8900-9b0df5d998b4,"Bulk carrier: 10,000-34,999 dwt",,GHG_CO2_KGCO2_e,0.0079,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 10,000-34,999 dwt",tkm,665a83f4-8998-4e28-8900-9b0df5d998b4,"Bulk carrier: 10,000-34,999 dwt",,GHG_N2O_KGCO2_e,0.0001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 10,000-34,999 dwt",tkm,665a83f4-8998-4e28-8900-9b0df5d998b4,"Bulk carrier: 10,000-34,999 dwt",,GHG_TOTAL_KGCO2_e,0.008,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 100,000-199,999 dwt",tkm,f61ae305-2bd7-4f52-b9c1-60054d80668d,"Bulk carrier: 100,000-199,999 dwt",,GHG_CH4_KGCO2_e,0.00000112,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 100,000-199,999 dwt",tkm,f61ae305-2bd7-4f52-b9c1-60054d80668d,"Bulk carrier: 100,000-199,999 dwt",,GHG_CO2_KGCO2_e,0.003,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 100,000-199,999 dwt",tkm,f61ae305-2bd7-4f52-b9c1-60054d80668d,"Bulk carrier: 100,000-199,999 dwt",,GHG_N2O_KGCO2_e,0.00004,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 100,000-199,999 dwt",tkm,f61ae305-2bd7-4f52-b9c1-60054d80668d,"Bulk carrier: 100,000-199,999 dwt",,GHG_TOTAL_KGCO2_e,0.00304,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 200,000+ dwt",tkm,d9e4867c-4e99-4d33-beb9-a19e9b29272c,"Bulk carrier: 200,000+ dwt",,GHG_CH4_KGCO2_e,0.00000112,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 200,000+ dwt",tkm,d9e4867c-4e99-4d33-beb9-a19e9b29272c,"Bulk carrier: 200,000+ dwt",,GHG_CO2_KGCO2_e,0.0025,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 200,000+ dwt",tkm,d9e4867c-4e99-4d33-beb9-a19e9b29272c,"Bulk carrier: 200,000+ dwt",,GHG_N2O_KGCO2_e,0.00003,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 200,000+ dwt",tkm,d9e4867c-4e99-4d33-beb9-a19e9b29272c,"Bulk carrier: 200,000+ dwt",,GHG_TOTAL_KGCO2_e,0.00253,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 35,000-59,999 dwt",tkm,4f26c7f5-b254-4fbe-a4f5-8050c3b337a4,"Bulk carrier: 35,000-59,999 dwt",,GHG_CH4_KGCO2_e,0.00000224,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 35,000-59,999 dwt",tkm,4f26c7f5-b254-4fbe-a4f5-8050c3b337a4,"Bulk carrier: 35,000-59,999 dwt",,GHG_CO2_KGCO2_e,0.0057,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 35,000-59,999 dwt",tkm,4f26c7f5-b254-4fbe-a4f5-8050c3b337a4,"Bulk carrier: 35,000-59,999 dwt",,GHG_N2O_KGCO2_e,0.00007,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 35,000-59,999 dwt",tkm,4f26c7f5-b254-4fbe-a4f5-8050c3b337a4,"Bulk carrier: 35,000-59,999 dwt",,GHG_TOTAL_KGCO2_e,0.00577,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 60,000-99,999 dwt",tkm,9a39c568-8f29-4b33-9faa-a4171e26de59,"Bulk carrier: 60,000-99,999 dwt",,GHG_CH4_KGCO2_e,0.00000112,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 60,000-99,999 dwt",tkm,9a39c568-8f29-4b33-9faa-a4171e26de59,"Bulk carrier: 60,000-99,999 dwt",,GHG_CO2_KGCO2_e,0.0041,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 60,000-99,999 dwt",tkm,9a39c568-8f29-4b33-9faa-a4171e26de59,"Bulk carrier: 60,000-99,999 dwt",,GHG_N2O_KGCO2_e,0.00005,Unknown
Freight Transport,International Sea Freight,International Sea Freight,"Bulk carrier: 60,000-99,999 dwt",tkm,9a39c568-8f29-4b33-9faa-a4171e26de59,"Bulk carrier: 60,000-99,999 dwt",,GHG_TOTAL_KGCO2_e,0.00415,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: Average,tkm,96549ba1-70b6-454b-aabf-0ee8e6b48b3f,Bulk carrier: Average,,GHG_CH4_KGCO2_e,0.00000112,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: Average,tkm,96549ba1-70b6-454b-aabf-0ee8e6b48b3f,Bulk carrier: Average,,GHG_CO2_KGCO2_e,0.00349,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: Average,tkm,96549ba1-70b6-454b-aabf-0ee8e6b48b3f,Bulk carrier: Average,,GHG_N2O_KGCO2_e,0.00004,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Bulk carrier: Average,tkm,96549ba1-70b6-454b-aabf-0ee8e6b48b3f,Bulk carrier: Average,,GHG_TOTAL_KGCO2_e,0.00353,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 0-999 TEU,tkm,ee5a3099-ae47-4213-ad8c-99c99769a7ac,Container ship: 0-999 TEU,,GHG_CH4_KGCO2_e,0.00001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 0-999 TEU,tkm,ee5a3099-ae47-4213-ad8c-99c99769a7ac,Container ship: 0-999 TEU,,GHG_CO2_KGCO2_e,0.0363,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 0-999 TEU,tkm,ee5a3099-ae47-4213-ad8c-99c99769a7ac,Container ship: 0-999 TEU,,GHG_N2O_KGCO2_e,0.00044,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 0-999 TEU,tkm,ee5a3099-ae47-4213-ad8c-99c99769a7ac,Container ship: 0-999 TEU,,GHG_TOTAL_KGCO2_e,0.03675,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 1000-1999 TEU,tkm,55f4b108-9ff4-49d9-9c21-9ae3bffee7b0,Container ship: 1000-1999 TEU,,GHG_CH4_KGCO2_e,0.00001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 1000-1999 TEU,tkm,55f4b108-9ff4-49d9-9c21-9ae3bffee7b0,Container ship: 1000-1999 TEU,,GHG_CO2_KGCO2_e,0.0321,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 1000-1999 TEU,tkm,55f4b108-9ff4-49d9-9c21-9ae3bffee7b0,Container ship: 1000-1999 TEU,,GHG_N2O_KGCO2_e,0.00039,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 1000-1999 TEU,tkm,55f4b108-9ff4-49d9-9c21-9ae3bffee7b0,Container ship: 1000-1999 TEU,,GHG_TOTAL_KGCO2_e,0.0325,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 2000-2999 TEU,tkm,1a729570-fc74-4a94-b69d-2d6aca42ed06,Container ship: 2000-2999 TEU,,GHG_CH4_KGCO2_e,0.00001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 2000-2999 TEU,tkm,1a729570-fc74-4a94-b69d-2d6aca42ed06,Container ship: 2000-2999 TEU,,GHG_CO2_KGCO2_e,0.02,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 2000-2999 TEU,tkm,1a729570-fc74-4a94-b69d-2d6aca42ed06,Container ship: 2000-2999 TEU,,GHG_N2O_KGCO2_e,0.00024,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 2000-2999 TEU,tkm,1a729570-fc74-4a94-b69d-2d6aca42ed06,Container ship: 2000-2999 TEU,,GHG_TOTAL_KGCO2_e,0.02025,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 3000-4999 TEU,tkm,75f239d2-d826-4c72-b2ea-2b398a5a77fa,Container ship: 3000-4999 TEU,,GHG_CH4_KGCO2_e,0.00001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 3000-4999 TEU,tkm,75f239d2-d826-4c72-b2ea-2b398a5a77fa,Container ship: 3000-4999 TEU,,GHG_CO2_KGCO2_e,0.0166,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 3000-4999 TEU,tkm,75f239d2-d826-4c72-b2ea-2b398a5a77fa,Container ship: 3000-4999 TEU,,GHG_N2O_KGCO2_e,0.0002,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 3000-4999 TEU,tkm,75f239d2-d826-4c72-b2ea-2b398a5a77fa,Container ship: 3000-4999 TEU,,GHG_TOTAL_KGCO2_e,0.01681,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 5000-7999 TEU,tkm,bea83157-12ee-400a-a16a-339e7152558e,Container ship: 5000-7999 TEU,,GHG_CH4_KGCO2_e,0.00001,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 5000-7999 TEU,tkm,bea83157-12ee-400a-a16a-339e7152558e,Container ship: 5000-7999 TEU,,GHG_CO2_KGCO2_e,0.0166,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 5000-7999 TEU,tkm,bea83157-12ee-400a-a16a-339e7152558e,Container ship: 5000-7999 TEU,,GHG_N2O_KGCO2_e,0.0002,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 5000-7999 TEU,tkm,bea83157-12ee-400a-a16a-339e7152558e,Container ship: 5000-7999 TEU,,GHG_TOTAL_KGCO2_e,0.01681,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 8000+ TEU,tkm,ab731b53-749e-4c0b-86aa-f6c4802c57be,Container ship: 8000+ TEU,,GHG_CH4_KGCO2_e,0.00000448,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 8000+ TEU,tkm,ab731b53-749e-4c0b-86aa-f6c4802c57be,Container ship: 8000+ TEU,,GHG_CO2_KGCO2_e,0.0125,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 8000+ TEU,tkm,ab731b53-749e-4c0b-86aa-f6c4802c57be,Container ship: 8000+ TEU,,GHG_N2O_KGCO2_e,0.00015,Unknown
Freight Transport,International Sea Freight,International Sea Freight,Container ship: 8000+ TEU,tkm,ab731b53-749e-4c0b-86aa-f6c4802c57be,Container ship: 8000+ TEU,,GHG_TOTAL_KGCO2_e,0.01266,Unknown
